	Vp	Vs	Density
93	3181.2700195	1961.5932616999999	2.4658999443000003
96	3448.0222168000005	1939.982666	2.633300066
97	3448.6931151999997	1888.2734375	2.6238000393000003
98	3407.1550293000005	2091.7214355	2.5125999451
99	3306.0324707	2282.482666	2.4126999378
101	2979.7458496	1990.4552002	2.3464000225
102	2991.2736816	1879.1893311000001	2.3482000828
103	2997.1120605	1828.9533691	2.3710000515000003
104	3028.7612305	1841.3302002	2.3961999416
105	3124.3496094	1818.7664795000003	2.415899992
106	3281.2084961	1823.2957764000002	2.4028000832
107	3373.5249023	1875.2687987999998	2.3643000126
108	3307.9521484	1884.1541748	2.3210000992
109	3168.4484863000002	1850.3555908	2.3052000999
110	3061.095459	1793.2513428	2.3350000381
111	2987.1665039	1755.104248	2.3736000061
112	2974.1430664	1761.8577880999997	2.388999939
113	3046.0961914	1801.55896	2.3624000549
114	3081.7949219	1877.2716063999999	2.3296999931
115	3005.3125	1846.8015137000002	2.3024001122
116	2885.6230469	1802.6425781	2.2850999832
117	2804.5197754	1801.9211426	2.2678999901
118	2826.3125	1798.2873535	2.2541000843
119	2861.6896973000003	1796.4473877	2.2502000332
120	2847.4404296999996	1796.2282715	2.2592999935
121	2854.4082031	1785.9591063999999	2.2846999168
122	2881.2041016	1783.4449462999999	2.3078999519
123	2917.2990723000003	1790.0687255999997	2.3301000595
124	2990.1730957	1796.690918	2.3415000439
125	3083.0480957	1821.7548827999997	2.3496999741
126	3160.3339844	1927.9669188999999	2.3619000912
127	3259.3317871	1965.6539307	2.3907001019
128	3310.0859375	1941.9703369000003	2.4047999382
129	3243.8991699000003	1896.2192383000001	2.3831000328
130	3086.7512207	1886.4935303	2.3592998981
131	2949.347168	1871.3795165999998	2.3357999325
132	2886.7270508	1847.4171142999999	2.3318998814
133	2855.6813965	1835.8658447	2.3097000122
134	2865.310791	1807.6425781	2.3166999817
135	2919.9206543	1803.4361572	2.3245000839
136	2977.9614258	1795.7583008000001	2.3376998901
137	3022.3791504	1798.8572998	2.3299000263
138	3093.9890136999998	1837.3288574	2.326499939
139	3139.4521484	1894.6552734000002	2.3148999214
140	3070.4233398	1893.5711670000003	2.3008999825
141	2960.7180175999997	1832.9425049000001	2.2597000599
142	2889.9130859	1773.0991210999998	2.2288999556999998
143	2844.8039550999997	1795.2993164000002	2.2265000343
144	2831.3244629	1883.8094482000001	2.285900116
145	2843.0817871	1896.1793212999999	2.3629999161
146	2873.6987305	1883.2276610999998	2.4024000168
147	2914.125	1800.5872803	2.3499999046
148	2943.6845703000004	1749.6236572	2.2653000355
149	2948.7536621	1765.0256348	2.2144000530000003
150	2917.6259766	1850.2623290999998	2.2355000973
151	2882.8718261999998	1892.0677489999998	2.2481999397
152	2905.7822266	1874.4338379	2.2295999527
153	2979.2944336	1825.5323485999998	2.2021000385
154	3047.4821776999997	1896.9935303	2.1991000175
155	3061.7380371	2048.9914550999997	2.2212998867
156	3034.3029785	2076.3466797	2.2370998859
157	2958.861084	1948.7906494000003	2.2279000282
158	2853.0537109	1742.1104735999998	2.2133998871
162	2828.822998	1785.93396	2.2381999493
163	2924.8098145	1801.0086670000003	2.2467000484
164	2966.4174805	1803.2557373	2.2528998852
165	2968.8879395	1850.3398438000002	2.25
166	2998.279541	1888.0991210999998	2.2430999279
167	3053.083252	1912.6843262000002	2.2379999161
168	3085.4135742	1923.8840332000002	2.2393000126
169	3067.8056641	1929.223877	2.2430999279
170	3038.9775391	1934.7344971	2.2581000328
171	3012.1315918	1931.579834	2.2504000663999997
172	2991.3879395	1884.3475342	2.2267999649
173	2996.3608398	1832.7341309	2.2249999046
174	3000.3515625	1836.6966553	2.2629001141
175	2989.3664550999997	1914.7039795000003	2.3196001053
176	2963.3083496	1948.1614989999998	2.3020000458000003
177	2960.8647461	1844.1778563999999	2.2548000813
178	2970.4155273	1764.9246825999999	2.2076001166999997
179	2963.8273925999997	1772.807373	2.2025001049
180	2971.1625977	1868.6878662000001	2.2084000111
181	2976.7978516	1918.1428223	2.2216000556999997
182	2975.2346191	1893.9559325999999	2.2365999222
183	3012.7302246	1848.2180176	2.227699995
184	3075.6376953000004	1836.0328369000003	2.1782000065
185	3094.4223633	1890.6967773	2.1328001022
186	3092.1057129	1900.4875487999998	2.1503999233
187	3076.1745605	1931.4462890999998	2.2109000683
188	3051.2038574000003	1933.3771973	2.2455999850999997
189	3050.1320800999997	1886.4058837999999	2.2298998833000003
190	3070.8686523	1877.1270752	2.2090001106
191	3094.1398925999997	1899.4311523	2.2207999229
192	3074.9177246	1947.2193604000001	2.2792000771
193	3007.6494141	1936.0849609000002	2.3996999264
194	2964.5507813	1850.6015625	2.4981000423
195	2964.9689941	1767.3325195	2.551199913
196	2994.8649901999997	1737.9949950999999	2.4809999466
197	3064.3049316	1737.1490479000001	2.3812000750999998
198	3136.9741211	1761.8935547000003	2.281899929
199	3160.723877	1846.0633545000003	2.239700079
200	3099.2963867	1920.8822020999999	2.238699913
201	3025.8596191	1937.6788329999997	2.2474000454
202	3020.8278809	1932.8352051	2.2458999157
203	3054.126709	1921.3240967	2.2265000343
204	3081.6484375	1936.5266112999998	2.2197999954
205	3074.0183105	1946.0557860999998	2.2511000633
206	3020.1721191	1941.4754639000002	2.2888998985
207	2956.619873	1895.2125244000003	2.2864999771
208	2932.7602539	1765.8007813000002	2.2427999972999997
209	2937.9077148	1761.309082	2.2190001011000002
210	2952.9047852	1820.6352539000002	2.2355000973
211	2950.2519531	1920.8094482000001	2.3055999279
213	2902.6083984	1748.6418457000002	2.3738999367
214	2944.8535156	1685.2320557	2.3171999454
215	2998.40625	1675.6662598	2.2660999297999997
216	3039.6015625	1780.8211670000003	2.2328999043
217	3056.2670898	1849.8759765999998	2.2339000702000003
218	3045.1772461	1882.998291	2.2290999889
219	3029.185791	1891.8341063999999	2.2392001152
220	2991.878418	1924.2886962999999	2.2753000259
221	2935.9379883	1941.2825928	2.3124001026
222	2925.9360352	1895.6556395999999	2.304899931
223	2973.4758300999997	1819.3680420000003	2.2860999107
224	3034.1069336	1804.9920654	2.279900074
225	3074.9301758	1898.9388428	2.3076999187
226	3087.263916	1988.0301514000002	2.3229999541999997
227	3093.8444824000003	1987.4052734000002	2.3308000565
228	3104.8686523	1925.6113281	2.3466000556999997
229	3114.5263671999996	1873.840332	2.3636000156
230	3115.4333496	1873.6260985999998	2.3742001057
231	3111.3945313	1889.6466063999999	2.3633000851
236	3111.416748	1836.3846436000001	2.279900074
237	3071.6889648	1845.1737061000001	2.2449998856
238	3015.0634766	1876.7963866999999	2.219399929
239	2938.3496094	1883.4940186000001	2.2111999988999997
240	2881.6728516	1872.5854491999999	2.2107999325
241	2871.3083496	1848.0982665999998	2.2190999985
242	2889.3649901999997	1829.8843994000003	2.2293999195
243	2926.7563477	1839.5242920000003	2.2402999401
244	2959.9101563	1848.9714355	2.2530999184000002
245	2982.0693359	1884.9627686000001	2.2616999149
246	3008.7565918	1897.1871337999999	2.2481000423
247	3038.4685059	1897.6832275	2.236399889
248	3066.1391602	1920.3931885000002	2.2625999451
249	3063.1870117	1920.9667969	2.3176000118
250	3006.7502441	1879.5926514000002	2.3515999317
253	2986.8591309	1714.501709	2.3376998901
254	3034.9887695	1818.4779053	2.3482999802
255	3105.375	1883.6977539000002	2.3533000946000002
256	3212.8208008	1892.7210693	2.3478999138
257	3286.0090332	1896.0814209000002	2.3394999504
258	3283.9450684	1920.5614014000002	2.3213999271
259	3281.6464844	1989.3717040999998	2.2850999832
260	3299.6550293	2138.4267578	2.2298998833000003
261	3288.7744141	2257.3078613000002	2.2195999621999998
262	3231.6652832	2174.9958496	2.2655000687
263	3209.7216796999996	1994.6611327999997	2.2976000309
264	3245.6987305	1941.4617920000003	2.2553999424
265	3280.463623	1971.7575684	2.1796000004
266	3265.019043	2156.3862305	2.1607999802
267	3169.3115234	2151.3208008	2.2219998837
268	3084.3146973000003	1992.6296387000002	2.3127999306
269	3082.8950195	1874.9620360999998	2.3838000297999997
270	3131.1635742	1837.5980225	2.4228999615
271	3163.3613281	1894.1241454999997	2.4270999432
278	2987.1574707	1876.5687255999997	2.2019999027
279	2938.6130371	1846.9368895999999	2.1923000813
280	2906.5112305	1782.6813965	2.2079000473
281	2893.8640136999998	1740.0290527	2.2221000195
282	2903.6616211	1725.9226074	2.234400034
283	2917.7822266	1792.6553954999997	2.2518000603
284	2936.223877	1840.6430664000002	2.2590999603
285	2962.6604004	1873.0043945	2.2815999985
286	2971.8056641	1886.4946289000002	2.3255999088
287	2948.0151367	1830.3580322	2.3872001171
288	2938.1484375	1708.9454346	2.4196999073
301	2979.0002441	1833.2147217	2.2388000488
302	2951.5236816	1836.8693848	2.2265000343
303	2933.5476074000003	1799.7515869000003	2.2337999344
304	2930.8059082	1786.3892822	2.2427000999
305	2951.140625	1798.3287354000001	2.2465999126
306	2982.8049316	1843.309082	2.2534999847
307	3020.6030273	1881.9624023	2.2567000389
308	3048.362793	1867.5006104000001	2.2578001022
309	3051.7231445	1841.8687744000003	2.2523999214
310	3046.7629395	1887.1289063000002	2.2437999249000002
311	3037.2875977	1998.6099854000001	2.242399931
312	3015.0693359	2073.8007813	2.2867999077000003
313	2972.2668457	1929.9726563000002	2.3475000858
314	2940.1691895	1749.9641112999998	2.3805000782
316	2957.9023438	1712.1026610999998	2.3150999546
317	3000.3630371	1794.7539063000002	2.2869999409
319	2986.8383789	1848.6719971	2.2769000530000003
325	3208.6069336	1936.3077392999999	2.2235999107
326	3159.6689453000004	2029.2889404	2.1963000297999997
327	3101.1694336	1999.7468262000002	2.1893000603
328	3056.5275879	1931.7669678	2.2007000446
329	3001.1726074000003	1825.9106445	2.2270998955000003
330	2981.6755371	1781.8277587999999	2.247699976
331	2993.0710449000003	1790.1633301	2.2611999512
332	3009.4133300999997	1820.4818114999998	2.2639000416
333	3027.4587401999997	1868.7176514000002	2.2744998932
334	3034.2094727	1910.6458739999998	2.2785999775
335	3037.3569336	1925.6671142999999	2.280600071
336	3064.1975098000003	1895.5989989999998	2.2802000046
337	3101.8103026999997	1874.5375977	2.288599968
338	3125.4262695	1835.9145508000001	2.3018000126
339	3111.3596191	1841.8643799000001	2.2995998859
340	3084.552002	1935.8526610999998	2.2911999225999997
341	3065.1435546999996	1951.4381104000001	2.2890999317
342	3054.0410156	1939.1260985999998	2.3066000937999998
343	3072.3730469	1942.0780029	2.3046998978
344	3080.0791016	1967.9179688000002	2.2753000259
345	3063.7814941	1961.5603027	2.2355999947
346	3026.2805175999997	1887.6442871	2.2471001148
347	3002.9765625	1749.8999023	2.2976000309
351	3022.5529785	1893.140625	2.3111999035
352	2988.7978516	1830.5316162000001	2.2492001057
353	2995.0830078000004	1777.5931395999999	2.22239995
354	2966.3398438	1761.3508301	2.2244999409
355	2941.0515136999998	1869.2780762000002	2.2137000561
356	2953.6430664	1943.1550292999998	2.1893000603
357	2950.7263184	1923.6315917999998	2.1693000793
358	2958.8183594	1885.5294188999999	2.176500082
359	2967.9543457	1807.690918	2.2023999691
360	2987.9189453000004	1763.1204834000002	2.2374999523
363	3011.5688477	1797.7899170000003	2.2790999413
364	3001.6191406	1868.4635010000002	2.2425999641
365	2977.3417969	1844.4033202999997	2.2160000800999997
366	2969.2988281	1846.7779540999998	2.2072000504
367	2960.005127	1805.3063965	2.2044000626
368	2946.7041016	1741.1341553	2.217099905
369	2929.5270996	1725.9089355	2.2399001122
370	2909.9211425999997	1767.7363281	2.2523999214
371	2911.9951171999996	1807.3768311000001	2.2411000729
372	2933.6323242	1837.9859619000003	2.2256000042
373	3000.126709	1807.2943114999998	2.2281999588
374	3090.472168	1797.9882813000002	2.2657001019
375	3150.9543457	1894.6821289000002	2.3276000023
376	3205.5090332	2044.4383545000003	2.3656001091
377	3247.0058594	2031.4298096	2.3431999683
378	3278.9318848000003	1935.9412842	2.2967000008
383	2954.9055175999997	1955.7304688000002	2.2590999603
384	2899.2426758	1916.3374023	2.2026000023
385	2894.3530273	1845.3255614999998	2.1826999187
386	2923.9567871	1828.9752197	2.1898999214
387	2986.2531738000002	1826.901123	2.2037000656
388	3087.107666	1843.418335	2.2105000019
389	3185.6918945	1874.4373779	2.2128999233
390	3222.0961914	1896.2287598	2.2128999233
391	3193.9104004	1929.7185059	2.2142999172
392	3138.2302246	1939.8419188999999	2.2137000561
393	3110.1787109	1923.5344237999998	2.2241001129
394	3117.2976074000003	1888.479248	2.2404999733
395	3137.7490234	1871.8391112999998	2.252300024
396	3157.7214355	1883.2542725	2.2456998825
397	3169.8786621	1911.6538085999998	2.2362999916
398	3172.6535645	1921.1726074	2.2355000973
399	3162.5964355	1906.2331542999998	2.2488000393000003
400	3149.7756348000003	1884.9161377	2.2672998905
401	3149.5803223000003	1880.9486084000002	2.2706000805
402	3162.590332	1891.951416	2.2674000263
403	3177.1279296999996	1888.4898682	2.2685000896000003
404	3191.890625	1873.388916	2.2811999321000003
405	3231.9941406	1848.4085693	2.2934000491999997
406	3285.9060059	1842.6282959000002	2.2925000191
407	3291.1713867	1943.3557129	2.2855000496
408	3217.9326171999996	2027.1334229000001	2.2644999027
409	3090.3688965	1976.1359862999998	2.2337999344
410	2981.8010254	1879.3643799000001	2.2035999297999997
411	2942.8464355	1807.7617188000002	2.1998000145
412	2974.9094238000002	1824.3369140999998	2.2139000893
413	3041.0119629	1910.3776855	2.2232000828
414	3106.8088379	1978.0648193	2.231400013
415	3158.729248	1998.8603515999998	2.2437000275
416	3175.0795898	1976.8010254	2.2699999809
417	3161.0944824000003	1930.2415770999999	2.2853999138
418	3142.6435546999996	1892.7891846	2.28489995
419	3140.0861816	1886.9805908	2.2679998875
420	3155.9523925999997	1877.0449219	2.2539999484999997
421	3177.5419921999996	1893.69104	2.2637000084
422	3190.1699219	1897.8841553	2.2906999588
423	3180.1975098000003	1887.0762938999999	2.309499979
424	3155.390625	1895.7310790999998	2.2943000793
425	3124.4938965	1898.0684813999999	2.2690999508000003
426	3097.1203613000002	1890.0532227	2.246999979
427	3086.2163086	1880.8382568	2.2404999733
428	3075.3864746	1870.7890625	2.2493000031
429	3057.9443359	1893.7523193	2.2641999722
430	3045.5817871	1874.3034667999998	2.2795000076
431	3034.1733398	1808.8902587999999	2.279599905
432	3021.8012695	1791.1101074	2.2876000404
433	3022.40625	1765.0839844	2.2941999435
434	3044.2099609	1824.1578369000003	2.2973999977
435	3048.7497559	1822.0281982000001	2.282900095
436	3019.9926758	1911.3217773	2.257600069
437	2959.5478516	1948.5986327999997	2.2346999645
438	2890.7543945	1936.3212890999998	2.2107000351
439	2861.590332	1842.7718505999997	2.1847000122
440	2882.2070313	1788.482666	2.1747999191
441	2936.0117188	1760.9814452999997	2.1933999062000002
442	2995.6008300999997	1764.2574462999999	2.2483999728999997
443	3024.5146484	1823.5379639000002	2.2948999405
444	3014.8845215	1895.2053223	2.3106000423
445	3005.4399414	1888.4887695	2.2904000282
446	3034.0039063	1839.2680664000002	2.2734999657
447	3114.0808105	1784.9759520999999	2.2776999474
448	3213.7897949000003	1888.8691406	2.2992000580000003
449	3273.3225098000003	2034.7496337999999	2.3113999367
450	3266.4365234	2105.3781738	2.2904999256
451	3195.7421875	2086.8293457000004	2.2592999935
452	3105.6247559	1941.7907715	2.2235000134000003
453	3031.2854004	1914.7989502	2.2023000717
454	2967.6767578000004	1885.0677489999998	2.1842000484
455	2936.1049805	1884.8964844	2.1777000427
456	2966.036377	1846.6022949	2.1982998848
457	3036.0258789	1765.5247803	2.247699976
458	3091.6760254	1722.2742920000003	2.3303000927
464	2860.4140625	1711.4432373	2.2330999374
465	2868.6113281	1702.9739989999998	2.2156999111
466	2851.0095215	1728.7996825999999	2.2112998962
467	2816.4226074000003	1761.8701172000003	2.2139000893
486	3296.8530273	2225.5109863000002	2.3791999817
487	3238.7321776999997	2164.0671386999998	2.3178999424
488	3107.4169921999996	1944.1713866999999	2.2453000546
489	2983.359375	1765.5820313000002	2.195100069
490	2921.7456055	1685.456665	2.1831998825
491	2908.8413086	1767.4913329999997	2.2044999599
492	2934.6096191	1932.5092773	2.214799881
493	2974.7180175999997	1928.8184813999999	2.2142000198
494	3013.7785645	1838.2807616999999	2.1970999240999998
495	3034.2790526999997	1793.8729248	2.1896998882
496	3016.630127	1800.3597412000001	2.1896998882
497	2981.4423828000004	1832.7528075999999	2.2030000687
498	2973.2409668	1806.6461182	2.2221000195
499	3013.1977539	1792.8936767999999	2.2539000511
500	3093.4677734	1804.1032715	2.2737998962
501	3167.0690918	1873.0688477	2.2801001072
502	3193.425293	1908.8380127	2.2802000046
503	3208.7927246	1899.6951904	2.2941000462
504	3223.6162109	1872.8341063999999	2.3183000088
505	3219.7648925999997	1838.6278075999999	2.3187000750999998
506	3184.9328613000002	1875.2987061000001	2.2943000793
507	3124.1928711	1910.2412109000002	2.2592999935
508	3087.654541	1912.4814452999997	2.2353999615
509	3089.5012207	1880.7546387000002	2.2288999556999998
510	3118.7648925999997	1835.2081299000001	2.234400034
511	3150.840332	1806.4128417999998	2.2458999157
512	3161.7697754	1810.2794188999999	2.2578999996
513	3174.0478516	1894.4030762000002	2.2704999447
514	3192.1176758	1931.0009765999998	2.271600008
515	3193.425293	1934.7835693	2.2713999748
516	3188.111084	1929.3726807	2.2725999355
517	3177.4821776999997	1935.465332	2.2764000893
518	3134.5800781	1938.3037109000002	2.2753000259
519	3088.1894531	1920.0822754	2.2702000141
520	3077.7929688	1880.6560059	2.2690999508000003
521	3092.7866211	1846.7008057	2.2725999355
522	3121.9816895	1868.9445801	2.2683000565
523	3134.3190918	1941.5805664000002	2.2662999630000003
524	3113.7434082	1982.5279540999998	2.2599999905000003
525	3081.7512207	1982.5474854000001	2.2592000961000003
526	3050.1105957	1957.673584	2.2622001171
527	3022.4692383	1919.3942871	2.2708001137
528	3015.1887207	1878.6727295000003	2.2692000866
529	3050.0344238000002	1850.3297119000003	2.2662000656
530	3140.338623	1872.5993652	2.2939999103999997
531	3264.4528809	1991.0585938000002	2.3273000717
532	3364.0231934	2149.7854004	2.3368999958
556	2859.0993651999997	1803.0936279	2.2709999084
557	2914.4174805	1745.2486572	2.2546999454
558	2963.0895996	1710.90625	2.2488000393000003
559	2968.8996582	1667.1096191	2.2488999367
561	3002.3078613000002	1707.5772704999997	2.2585999966
563	3042.3564453000004	1731.0008545000003	2.261300087
564	3045.9682617	1728.1350098	2.2613999844
565	3037.1938477	1729.8671875	2.2630999088
566	3016.2658691	1739.5760498	2.2676999569
567	3004.9716796999996	1759.3591309	2.2720999718
568	2995.6950684	1769.8376465	2.2697999477
569	2982.3291016	1773.3911133000001	2.2648999691
570	2992.3574219	1772.8216553	2.2590000628999998
571	3013.1083984	1748.3399658	2.255300045
572	3058.0639648	1737.2827148	2.2509000301
573	3073.3024901999997	1738.9914551	2.2558000088
574	3039.4318848000003	1755.7401123	2.2569999695
575	3010.3823242	1768.0819092	2.2574000359
576	3004.7111816	1759.4343262000002	2.2518999577
577	3022.1936035	1760.7362061000001	2.2555999756
578	3043.7143555	1761.1848145	2.2528998852
579	3065.2512207	1774.4121094	2.2544000149000003
580	3085.5385742	1809.1673584000002	2.2644000053
581	3111.029541	1808.5350342	2.2734999657
582	3132.0612793	1802.3057860999998	2.2792000771
583	3133.307373	1801.074585	2.2739999294
584	3132.6953125	1805.2445068	2.2783999443000003
585	3131.8459473000003	1814.2015380999997	2.2762999535
586	3116.3413086	1818.0201415999998	2.274600029
587	3093.9104004	1813.7307129	2.2723999023
588	3066.1115723000003	1814.0384520999999	2.2760999203
589	3049.1433105	1813.7362061000001	2.2790000439
590	3046.1694336	1806.2351074	2.2855999469999997
591	3043.5532227	1798.1420898	2.290899992
592	3034.1491699000003	1789.6020508000001	2.2969999313
593	3030.5319824000003	1798.3572998	2.2934000491999997
594	3054.0959473000003	1814.6270752	2.2820000648
595	3086.9042969	1805.8786621	2.2630999088
596	3089.942627	1788.010498	2.2483999728999997
597	3062.1594238000002	1765.1473389000002	2.2367000580000003
598	3049.5429688	1750.8095702999997	2.2258999347999997
599	3059.6418457	1744.7291260000002	2.2184000015
600	3078.0231934	1742.6622313999999	2.2269999981
601	3095.6889648	1754.0264892999999	2.2597999573
602	3106.2512207	1802.7247313999999	2.314800024
603	3144.9492188	1880.1444092	2.3559000491999997
604	3183.0273438	1912.4082031	2.3668000698
605	3182.4821776999997	1914.3852539000002	2.3280000687
606	3184.2241211	1895.3975829999997	2.2938001156
607	3197.425293	1884.2683105	2.2695999146
608	3203.8244629	1869.565918	2.2760999203
609	3210.3571776999997	1825.1672362999998	2.287899971
610	3205.5834961	1817.9541015999998	2.2955999374
611	3164.8032227	1824.9802246	2.287899971
612	3086.1791992	1871.9771729000001	2.2679998875
613	3017.3017578000004	1822.4411621	2.2486999035
614	2994.5856934	1788.1489258000001	2.2507998943
615	2985.0891113000002	1777.6409912000001	2.2662999630000003
616	2978.0512695	1800.8798827999997	2.282599926
617	2997.2800293	1835.2413329999997	2.2809000015
618	3028.0422363000002	1868.9329834000002	2.2723999023
619	3049.9489746	1837.2867432	2.2806999683
620	3066.8210449000003	1813.8830566	2.2904000282
621	3074.8186035	1795.7636719	2.2904999256
622	3078.2314453000004	1784.590332	2.2792000771
623	3078.619873	1776.7901610999998	2.2748999596
624	3061.7595215	1777.2232665999998	2.2843999863
625	3032.5192871	1785.8063965	2.2876000404
626	3012.6347656	1788.6210938000002	2.2864999771
627	3002.8432617	1786.9967040999998	2.2887001038
628	2998.9992675999997	1785.9780273	2.2892000675
629	3012.6196289	1783.4698485999998	2.2880001068
630	3034.9951171999996	1786.6333008000001	2.2737998962
631	3050.7670898	1789.4737549000001	2.2667000294
632	3052.2546386999998	1794.4453125	2.2674000263
633	3038.8195800999997	1804.7901610999998	2.2690000534
634	3036.4462891	1797.4559325999999	2.2651998997
635	3058.1530761999998	1783.137207	2.2546000481
636	3094.8811035	1767.7579346	2.2546000481
637	3145.7834473000003	1763.3214110999998	2.2644999027
638	3186.0981445	1766.4364014000002	2.2760000229
639	3179.4047852	1804.6757813000002	2.2809000015
640	3139.6462401999997	1820.0167235999998	2.2778000832
641	3105.7133789	1867.9892577999997	2.2776999474
642	3113.5620117	1876.4971924000001	2.2785000800999997
643	3150.7687988000002	1885.0957031	2.2808001041
644	3179.9689941	1880.7872313999999	2.2804999352
648	3187.5979004	1899.0168457000002	2.2983000278
649	3222.3723145	1877.3132324	2.2667000294
